,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,tendencia,rango_area,delta,vix_close,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
11,03/21/2022,4517.25,4502.5,4456.5,6123200,496,4483.95,4460.0,4541.5,4417.5,4536.5,40900,92700,37500,0,alcista,60.75,634800,20.81,55.533,-54.168,-89.884,514.978,-270.293,-153.436
12,03/28/2022,4595.5,4535.75,4507.75,6503500,519,4570.05,4535.25,4633.5,4503.75,4539.25,71100,139300,15300,0,lateral,87.75,372500,19.63,58.322,-50.855,-89.558,559.971,-282.408,-180.538
13,04/04/2022,4524.75,4479.0,4451.0,6696600,577,4507.67,4538.25,4591.25,4447.0,4483.5,29200,116400,18100,0,bajista,73.75,517800,21.16,20.045,-31.659,-117.669,533.517,-248.763,-178.699
14,04/11/2022,4456.75,4431.0,4409.0,5627400,463,4426.54,4488.75,4493.75,4378.0,4387.5,55500,123600,97700,0,bajista,47.75,285600,22.7,-65.151,62.964,-193.708,477.979,-100.759,-185.699
15,04/18/2022,4510.75,4463.0,4386.0,7544200,1046,4407.16,4390.0,4511.5,4250.0,4267.25,6400,103100,51600,1,bajista,124.75,173200,28.21,-65.946,68.429,-157.924,473.193,-116.483,-196.303
16,04/25/2022,4254.0,4215.25,4180.25,9931700,739,4220.2,4259.0,4306.0,4121.25,4127.5,56400,181500,58800,0,bajista,73.75,416200,33.4,-125.848,122.75,-183.661,359.922,-6.72,-172.639
17,05/02/2022,4182.25,4151.5,4107.5,10152800,988,4153.2,4144.0,4305.5,4058.5,4119.5,80300,145500,57500,0,bajista,74.75,460300,30.19,-58.797,52.207,-104.958,365.946,-83.501,-184.077
18,05/09/2022,4060.25,4016.5,3963.5,10439300,976,3985.67,4087.25,4101.5,3857.5,4019.75,32000,169600,32000,0,bajista,96.75,270800,28.87,-116.81,121.775,-125.661,277.173,-8.652,-137.895
19,05/16/2022,4008.75,3904.0,3811.0,9889200,1150,3957.91,4025.0,4097.5,3810.0,3899.5,77500,95200,3600,0,bajista,197.75,42700,29.43,-52.662,66.646,-89.995,307.484,-97.523,-105.982
20,05/23/2022,4004.25,3946.5,3876.5,8253600,1185,3990.21,3910.5,4170.75,3874.5,4155.75,8400,98800,8400,0,alcista,127.75,931100,25.72,-28.82,48.888,-82.52,290.816,-146.369,-41.859
21,05/30/2022,4155.75,4133.0,4101.0,6928600,523,4128.65,4164.5,4204.75,4074.0,4107.0,77700,117800,66900,0,bajista,54.75,145700,24.79,2.732,21.907,-86.154,354.619,-203.422,-40.404
22,06/06/2022,4167.25,4120.5,4105.5,6170300,1097,4088.75,4110.5,4170.75,3896.5,3899.0,33700,127900,26300,0,bajista,61.75,385400,27.75,51.858,-17.024,-28.059,341.381,-231.338,-47.15
23,06/13/2022,3829.75,3775.0,3692.0,10279000,958,3736.24,3870.75,3878.5,3639.0,3663.75,8600,114900,79300,0,bajista,137.75,645400,31.13,-28.864,34.278,8.142,206.523,-175.912,-33.339
24,06/20/2022,3802.25,3765.5,3726.5,6164100,1033,3791.31,3684.0,3919.75,3661.5,3916.25,19600,132300,10600,0,alcista,75.75,666200,27.23,144.197,-114.319,90.428,188.135,-204.836,-43.849
25,06/27/2022,3838.0,3825.25,3749.25,8815700,835,3830.77,3915.0,3950.0,3741.25,3827.25,21300,154800,27000,0,bajista,88.75,708800,26.7,168.405,-139.226,128.581,195.019,-265.565,-28.856
26,07/04/2022,3904.75,3831.0,3802.0,6302200,712,3846.41,3828.5,3922.0,3744.0,3901.25,96400,98000,11600,0,alcista,102.75,436600,24.64,221.625,-183.682,136.353,205.591,-317.976,13.975
27,07/11/2022,3869.5,3855.75,3791.75,8398500,708,3819.29,3900.0,3900.75,3723.75,3865.0,34300,223500,66500,0,bajista,77.75,616800,24.23,247.687,-215.528,171.366,223.16,-369.516,7.149
28,07/18/2022,3987.75,3961.0,3930.0,6688400,729,3952.48,3878.5,4016.25,3834.0,3965.0,59400,125000,43700,0,alcista,57.75,661900,23.03,266.346,-208.148,241.494,247.528,-425.568,-5.256
29,07/25/2022,4051.0,3957.25,3913.25,8449200,923,4014.5,3967.75,4144.0,3913.25,4133.5,32400,115700,3100,0,alcista,137.75,740300,21.33,290.09,-237.635,212.833,295.674,-454.343,-1.709
30,08/01/2022,4150.25,4121.5,4103.5,8034100,371,4129.65,4137.5,4173.25,4080.5,4146.75,98000,180600,84100,0,alcista,46.75,369700,21.15,293.137,-231.885,286.092,320.914,-505.957,-39.797
31,08/08/2022,4260.75,4208.0,4146.0,7028000,679,4191.85,4149.75,4282.75,4113.0,4281.0,15200,121400,36700,0,alcista,114.75,645000,19.53,312.241,-244.261,339.89,295.919,-503.6,-64.229
32,08/15/2022,4305.5,4275.75,4261.75,7118100,427,4274.51,4277.0,4327.5,4220.75,4231.5,39900,196200,40700,1,bajista,43.75,602700,20.6,354.217,-287.984,370.427,376.09,-598.669,-81.615
33,08/22/2022,4176.5,4138.75,4126.75,8208300,715,4145.26,4221.0,4221.5,4042.75,4059.5,48000,230000,45900,1,bajista,49.75,98900,25.56,328.415,-262.276,333.016,338.348,-513.698,-91.527
34,08/29/2022,4017.25,3986.5,3925.5,11242500,677,3982.19,4024.0,4072.75,3903.5,3924.5,31100,108700,104800,0,bajista,91.75,360300,25.47,311.815,-239.632,316.908,326.682,-490.807,-80.6
35,09/05/2022,4002.25,3979.5,3909.5,7397400,775,3964.22,3929.0,4077.25,3883.5,4067.25,25000,102100,72400,0,alcista,92.75,587800,22.79,301.282,-238.72,338.069,271.344,-452.569,-94.282
36,09/12/2022,4123.75,3967.0,3905.0,10949200,1288,3969.15,4077.25,4175.0,3853.0,3871.25,60100,151600,2800,1,bajista,218.75,273100,26.3,370.284,-281.004,392.375,313.478,-525.354,-91.219
37,09/19/2022,3929.0,3877.25,3779.25,12035500,1104,3817.54,3889.5,3936.25,3660.25,3709.0,4700,158200,132100,1,bajista,149.75,737900,29.92,313.698,-219.451,235.697,283.947,-346.646,-78.751
