,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal,vix_0dte
15,01/05/2023,10893.75,10863.0,10822.0,689200,967,10880.6,10988.5,11046.75,10805.0,10820.25,4300,9900,5500,0,71.75,-1300.0,22.46,Jueves,0.0
16,01/06/2023,11164.75,11113.0,10888.0,726900,1659,10959.99,10838.75,11165.75,10751.0,11113.5,129,5400,2200,0,276.75,4800.0,21.13,Viernes,0.0
17,01/09/2023,11381.0,11356.25,11215.25,640100,1061,11266.42,11128.75,11385.5,11120.25,11185.5,688,6700,2900,0,165.75,2100.0,21.97,Lunes,0.0
18,01/10/2023,11238.75,11202.0,11150.0,556000,779,11198.55,11181.25,11288.75,11094.0,11282.0,3400,5900,3700,1,88.75,-1000.0,20.58,Martes,0.0
19,01/11/2023,11410.5,11339.75,11271.75,494100,959,11370.09,11281.75,11479.5,11239.75,11476.5,2700,5100,582,0,138.75,-362.0,21.09,Miercoles,0.0
20,01/12/2023,11548.75,11470.0,11448.0,745400,1155,11477.24,11471.75,11579.75,11291.0,11534.25,5700,6900,3800,0,100.75,2900.0,18.83,Jueves,0.0
21,01/13/2023,11535.75,11510.0,11419.0,476200,922,11504.36,11529.75,11619.5,11389.0,11608.0,1200,6000,1200,0,116.75,-2600.0,18.35,Viernes,0.0
22,01/17/2023,11646.25,11614.5,11577.5,482900,618,11608.86,11612.5,11685.0,11530.5,11624.5,3300,7700,3100,0,68.75,-2800.0,19.36,Martes,0.0
23,01/18/2023,11660.75,11524.0,11471.0,608900,1166,11602100.0,11622.5,11759.5,11468.0,11624.5,2200,6700,840,0,189.75,2300.0,20.34,Miercoles,0.0
24,01/19/2023,11430.25,11366.5,11352.5,589300,714,11388.19,11470.5,11487.0,11308.5,11356.5,3400,8200,2900,0,77.75,2200.0,20.52,Jueves,0.0
25,01/20/2023,11686.0,11677.25,11464.25,568700,1286,11523.17,11401.0,11686.75,11365.25,11677.0,55,5800,2500,0,221.75,3000.0,19.85,Viernes,0.0
26,01/23/2023,11983.0,11929.5,11821.5,586300,1330,11853.64,11676.75,11983.0,11650.5,11934.0,114,7900,1800,0,161.5,-5900.0,19.81,Lunes,0.0
27,01/24/2023,11932.5,11906.75,11880.75,504500,699,11904.05,11933.0,12010.5,11835.75,11909.5,4400,10700,5000,0,51.75,-4600.0,19.2,Martes,0.0
28,01/25/2023,11897.25,11869.5,11700.5,627900,1488,11758.69,11970.5,11976.5,11604.5,11873.25,470,4800,2300,0,197.25,826.0,19.08,Miercoles,0.0
29,01/26/2023,12048.0,11994.25,11929.25,612900,983,12001.46,11874.75,12113.0,11867.25,12106.75,3000,6000,2600,0,118.75,-3300.0,18.73,Jueves,0.0
30,01/27/2023,12279.75,12221.0,12107.0,582100,1170,12170.78,12049.0,12308.5,12016.0,12222.25,2400,7200,897,0,172.75,3900.0,18.51,Viernes,0.0
31,01/30/2023,12086.75,11990.0,11982.0,625700,1168,12051.56,12212.5,11252.0,11960.0,11968.0,3500,6300,3100,0,104.75,-6500.0,19.94,Lunes,0.0
32,01/31/2023,12130.75,12095.0,11997.0,579100,1140,12041.59,11984.0,12156.0,11871.0,12152.0,661,6100,3000,0,133.75,-4100.0,19.4,Martes,17.73
33,02/01/2023,12348.0,12129.25,12055.25,656000,1877,12237.4,12116.0,12524.5,12055.25,12414.25,1300,9200,27,1,292.75,221.0,17.87,Miercoles,26.23
34,02/02/2023,12858.5,12793.75,12676.75,801100,1792,12738.58,12520.0,12949.75,12501.75,12846.75,1100,5700,2200,0,181.75,-1.6,18.73,Jueves,17.67
35,02/03/2023,12736.0,12622.25,12579.25,811800,1307,12697.53,12748.25,12878.0,12551.25,12624.0,2000,6600,2200,0,156.75,-8700.0,18.33,Viernes,26.19
36,02/06/2023,12567.5,12544.75,12499.75,529500,611,12533.68,12572.0,12608.5,12455.75,12515.5,3900,7900,3900,0,67.75,-954.0,19.43,Lunes,17.8
37,02/07/2023,12660.0,12511.25,12474.25,729600,1437,12602.37,12513.0,12818.5,12458.25,12776.75,717,6800,681,1,185.75,3800.0,18.66,Martes,20.5
38,02/08/2023,12693.5,12544.75,12512.75,572200,1183,12634.38,12747.0,12808.5,12512.75,12545.25,1300,6500,51,0,180.75,3200.0,19.63,Miercoles,16.45
39,02/09/2023,12726.25,12687.5,12524.5,607900,1448,12574.58,12555.0,12728.5,12366.5,12425.0,368,4700,2700,0,201.75,-1500.0,20.71,Jueves,17.45
40,02/10/2023,12361.0,12329.25,12278.25,594600,833,12337.21,12448.75,12451.5,12243.25,12346.25,1900,7700,2200,0,82.75,-2700.0,20.53,Viernes,18.73
