,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,tendencia,rango_area,delta,vix_close,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
10,02/13/2023,12673.0,12541.25,12418.25,3024600,2110,12522.18,12357.5,12792.75,12265.25,12390.0,3200,16000,3000,1,lateral,254.75,4400,20.02,43.337,-22.824,35.913,45.978,-45.846,-15.532
11,02/20/2023,12256.75,12095.0,12053.0,2500600,1979,12119.82,12380.0,12417.75,11923.0,11997.0,3400,14800,4200,0,bajista,203.75,-8000,21.67,34.62,-14.069,35.786,33.475,-34.836,-13.874
12,02/27/2023,12180.25,12091.5,11956.5,3378800,1986,12064.15,12003.0,12329.0,11832.5,12311.25,2800,25000,10200,0,alcista,224.0,-6700,18.49,42.004,-23.829,39.837,24.183,-31.196,-14.649
13,03/06/2023,12411.75,12170.0,12079.0,3511800,2765,12174.24,12306.25,12486.25,11795.0,11840.25,549,18300,3200,0,bajista,332.75,-11200,24.8,36.075,-12.425,38.199,24.251,-27.856,-10.944
14,03/13/2023,12810.0,12649.25,12224.25,3479300,4020,12363.98,11894.75,12811.25,11806.25,12594.75,60,11200,8000,0,alcista,585.75,2700,25.51,35.052,-6.472,30.679,20.055,-6.028,-16.126
15,03/20/2023,12955.0,12797.75,12717.75,3437700,2227,12805.6,12690.0,13082.0,12525.25,12890.25,10900,41000,9500,0,alcista,237.25,-13100,21.74,16.858,-5.12,24.975,24.341,-30.429,-7.149
16,03/27/2023,13061.5,12909.25,12636.75,2805700,2709,12949.1,12916.0,13311.5,12634.25,13301.75,24600,34400,2100,1,alcista,424.75,1900,18.7,14.846,-7.348,28.525,24.32,-40.894,-4.453
17,04/03/2023,13318.0,13230.75,13103.25,2326800,1582,13158.37,13262.0,13348.75,12953.25,13170.75,5700,39100,4900,0,bajista,214.75,-1100,18.4,12.556,-18.385,13.94,32.673,-44.341,-8.101
18,04/10/2023,13175.25,13068.0,13048.0,2934900,1318,13012.21,13179.75,13255.0,12925.5,13181.25,16700,56700,17200,0,lateral,127.25,-10900,17.07,7.92,-2.13,3.067,40.255,-36.211,1.321
19,04/17/2023,13197.25,13180.0,13077.5,2891400,1265,13132.37,13212.5,13298.75,12982.5,13090.5,33300,66000,37500,0,bajista,119.75,-4000,16.77,6.417,2.673,3.89,38.613,-31.625,-1.788
20,04/24/2023,13117.25,12950.0,12837.5,3384300,2144,13053.03,13070.0,13336.0,12800.0,13320.25,7800,41900,8800,1,alcista,279.75,-32700,15.78,3.469,5.13,-1.485,41.15,-35.992,4.926
21,05/01/2023,13351.5,13301.75,13141.75,2996500,1474,13197.47,13317.0,13370.25,13001.75,13317.75,15100,49800,14200,0,lateral,209.75,-15200,17.19,-501.0,13.29,-4.932,42.971,-34.805,9.555
22,05/08/2023,13400.0,13285.25,13257.75,3151800,1166,13358.55,13316.0,13494.25,13202.75,13396.25,40000,71400,14800,0,lateral,142.25,-5800,17.03,-10.922,21.387,-10.058,44.308,-30.682,6.897
23,05/15/2023,13954.75,13850.0,13515.0,3055200,2441,13648.62,13378.75,13960.25,13350.0,13858.0,536,35400,33000,0,alcista,439.75,1700,16.81,-7.158,19.964,-10.327,50.828,-31.406,3.711
24,05/22/2023,14046.25,13859.0,13664.0,3397200,3210,13904.19,13805.5,14369.0,13566.5,14332.5,1600,58500,11500,0,alcista,382.25,14200,17.95,-5.669,14.509,-12.007,58.582,-37.153,-582.0
25,05/29/2023,14488.0,14298.25,14270.75,2764700,1518,14425.84,14437.5,14627.75,14248.25,14575.25,15500,39700,11400,0,alcista,217.25,-1400,14.6,4.884,8.512,-15.856,64.444,-45.016,9.824
26,06/05/2023,14681.5,14591.75,14486.75,3060100,1752,14526.13,14577.0,14694.75,14256.75,14556.25,10700,58100,32500,0,lateral,194.75,-10300,13.83,2.471,8.848,-24.916,72.127,-43.066,7.174
